,id,start,stop,member_id,room_id,cost
0,383,2018-05-09 08:01:18.462109,2018-05-09 09:01:18.462109,48,7,100.0
1,384,2018-05-09 08:01:18.462109,2018-05-09 10:01:18.462109,1,9,260.0
2,385,2018-05-09 09:01:18.462109,2018-05-09 10:01:18.462109,67,10,199.0
3,386,2018-05-09 10:01:18.462109,2018-05-09 12:01:18.462109,18,7,200.0
4,387,2018-05-09 12:01:18.462109,2018-05-09 15:01:18.462109,86,6,315.0
5,388,2018-05-09 13:01:18.462109,2018-05-09 14:01:18.462109,1,7,100.0
6,389,2018-05-09 14:01:18.462109,2018-05-09 17:01:18.462109,50,7,300.0
7,390,2018-05-09 15:01:18.462109,2018-05-09 16:01:18.462109,52,6,105.0
8,391,2018-05-09 15:01:18.462109,2018-05-09 18:01:18.462109,86,9,390.0
9,392,2018-05-09 16:01:18.462109,2018-05-09 17:01:18.462109,54,6,105.0
10,393,2018-05-09 18:01:18.462109,2018-05-09 19:01:18.462109,42,7,100.0
11,394,2018-05-09 18:01:18.462109,2018-05-09 19:01:18.462109,65,8,170.0
12,395,2018-05-09 22:01:18.462109,2018-05-09 23:01:18.462109,48,6,105.0
13,396,2018-05-09 23:01:18.462109,2018-05-10 00:01:18.462109,48,6,105.0
14,397,2018-05-09 23:01:18.462109,2018-05-10 02:01:18.462109,29,10,597.0
15,398,2018-05-10 00:01:18.462109,2018-05-10 03:01:18.462109,5,9,390.0
16,399,2018-05-10 01:01:18.462109,2018-05-10 03:01:18.462109,17,7,200.0
17,400,2018-05-10 03:01:18.462109,2018-05-10 04:01:18.462109,91,8,170.0
18,401,2018-05-10 03:01:18.462109,2018-05-10 04:01:18.462109,59,10,199.0
19,402,2018-05-10 04:01:18.462109,2018-05-10 05:01:18.462109,26,8,170.0
20,403,2018-05-10 04:01:18.462109,2018-05-10 05:01:18.462109,1,9,130.0
21,404,2018-05-10 05:01:18.462109,2018-05-10 06:01:18.462109,33,8,170.0
22,405,2018-05-10 05:01:18.462109,2018-05-10 07:01:18.462109,40,10,398.0
23,406,2018-05-10 07:01:18.462109,2018-05-10 10:01:18.462109,28,7,300.0
24,407,2018-05-10 09:01:18.462109,2018-05-10 14:01:18.462109,14,10,995.0
25,408,2018-05-10 10:01:18.462109,2018-05-10 11:01:18.462109,38,6,105.0
26,409,2018-05-10 11:01:18.462109,2018-05-10 12:01:18.462109,3,6,105.0
27,410,2018-05-10 12:01:18.462109,2018-05-10 13:01:18.462109,33,7,100.0
28,411,2018-05-10 13:01:18.462109,2018-05-10 17:01:18.462109,5,6,420.0
29,412,2018-05-10 13:01:18.462109,2018-05-10 17:01:18.462109,38,7,400.0
30,413,2018-05-10 13:01:18.462109,2018-05-10 14:01:18.462109,53,9,130.0
31,414,2018-05-10 14:01:18.462109,2018-05-10 16:01:18.462109,47,10,398.0
32,415,2018-05-10 15:01:18.462109,2018-05-10 16:01:18.462109,57,9,130.0
33,416,2018-05-10 16:01:18.462109,2018-05-10 18:01:18.462109,10,8,340.0
34,417,2018-05-10 18:01:18.462109,2018-05-10 20:01:18.462109,94,6,210.0
35,418,2018-05-10 18:01:18.462109,2018-05-10 20:01:18.462109,58,10,398.0
36,419,2018-05-10 20:01:18.462109,2018-05-10 22:01:18.462109,82,7,200.0
37,420,2018-05-10 21:01:18.462109,2018-05-11 00:01:18.462109,8,10,597.0
38,421,2018-05-10 23:01:18.462109,2018-05-11 00:01:18.462109,41,7,100.0
39,422,2018-05-11 01:01:18.462109,2018-05-11 04:01:18.462109,59,7,300.0
40,423,2018-05-11 01:01:18.462109,2018-05-11 02:01:18.462109,76,9,130.0
41,424,2018-05-11 05:01:18.462109,2018-05-11 06:01:18.462109,61,7,100.0
